Oldrand 4 MSBs,Oldrand 4 LSBs,Von-Neumann,Mesrene-Twister,AES
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
0.013158,1.000000,0.000000,0.234906,0.781189
